Date,Close,High,Low,Open,Volume
01-12-1999,18934.33984,18960.33008,18006.32031,18563.25977,0
01-01-2000,19539.69922,19595.83008,18068.09961,18937.44922,0
01-02-2000,19959.51953,20046.14063,19266.96094,19536.67969,0
01-03-2000,20337.32031,20809.78906,18765.88086,20030.08008,0
01-04-2000,17973.69922,20833.21094,17926.42969,20327.78906,0
01-05-2000,16332.4502,18586.16016,15870.25,17979.25,0
01-06-2000,17411.05078,17511.32031,16289.91992,16320.08008,0
01-07-2000,15727.49023,17661.10938,15394.70996,17451.65039,0
01-08-2000,16861.25977,17210.80078,15557.33008,15784.59961,0
01-09-2000,15747.25977,17018.51953,15621.87988,16915.03906,0
01-10-2000,14539.59961,16192.78027,14333.16016,15735.70996,0
01-11-2000,14648.50977,15602.38965,14172.63965,14557.4502,0
01-12-2000,13785.69043,15273.40039,13182.50977,14600.53027,0
01-01-2001,13843.5498,14186.62012,13123.80957,13898.08984,0
01-02-2001,12883.54004,13862.29004,12784.16992,13740.91992,0
01-03-2001,12999.7002,13867.58008,11433.87988,12811.51953,0
01-04-2001,13934.32031,14099.49023,12579.55957,13057.65039,0
01-05-2001,13262.13965,14556.11035,13216.57031,14096.32031,0
01-06-2001,12969.0498,13510.7002,12511.66016,13365.08008,0
01-07-2001,11860.76953,12929.66016,11531.67969,12929.66016,0
01-08-2001,10713.50977,12407.37012,10684.16016,11920.63965,0
01-09-2001,9774.679688,10812.88965,9382.950195,10729.59961,0
01-10-2001,10366.33984,11052.00977,9604.089844,9766.75,0
01-11-2001,10697.44043,11186.75,9955.089844,10430.58984,0
01-12-2001,10542.62012,11052.50977,10170.90039,10694.65039,0
01-01-2002,9997.799805,10979.91992,9843.120117,10631,0
01-02-2002,10587.83008,10798.66992,9420.849609,10026.95996,0
01-03-2002,11024.94043,12034.04004,10540.30957,10641.36035,0
01-04-2002,11492.54004,11812.99023,10896.12012,11106.07031,0
01-05-2002,11763.7002,12081.42969,11250.86035,11540.08984,0
01-06-2002,10621.83984,11905.16016,10060.71973,11804.04004,795700000
01-07-2002,9877.94043,11050.69043,9547.849609,10655,1140500000
01-08-2002,9619.299805,10162.2998,9439.410156,9912.589844,987400000
01-09-2002,9383.290039,9884.599609,8969.259766,9564.900391,1001300000
01-10-2002,8640.480469,9293.860352,8197.219727,9289.530273,1057900000
01-11-2002,9215.55957,9294.099609,8246.530273,8651.669922,1119100000
01-12-2002,8578.950195,9320.110352,8256.519531,9208.610352,911500000
01-01-2003,8339.94043,8829.05957,8237.030273,8669.889648,1051300000
01-02-2003,8363.040039,8821.30957,8253.759766,8285.549805,977500000
01-03-2003,7972.709961,8509.429688,7824.819824,8397.150391,1062200000
01-04-2003,7831.419922,8249.980469,7603.759766,7907.129883,1133400000
01-05-2003,8424.509766,8461.730469,7745.689941,7804.029785,1234700000
01-06-2003,9083.110352,9188.950195,8488.889648,8490.219727,1717500000
01-07-2003,9563.209961,10070.11035,9078.740234,9097.610352,1894200000
01-08-2003,10343.5498,10415.53027,9224.049805,9646.660156,1736200000
01-09-2003,10219.0498,11160.19043,10148.36035,10399.53027,1829800000
01-10-2003,10559.58984,11238.62988,10173.54004,10232.57031,1960300000
01-11-2003,10100.57031,10869.34961,9614.599609,10693.66016,1273100000
01-12-2003,10676.63965,10681.28027,9859,10006.12988,1274000000
